"Subject" "Class" "TestScores"
"1" 1 "German" 13
"2" 2 "German" 14
"3" 3 "German" 12
"4" 4 "German" 13
"5" 5 "German" 9
"6" 6 "German" 13
"7" 7 "German" 18
"8" 8 "German" 16
"9" 9 "German" 7
"10" 10 "German" 12
"11" 11 "German" 9
"12" 12 "German" 13
"13" 13 "German" 11
"14" 14 "German" 13
"15" 15 "German" 12
"16" 16 "German" 17
"17" 17 "Korean" 15
"18" 18 "Korean" 16
"19" 19 "Korean" 19
"20" 20 "Korean" 19
"21" 21 "Korean" 15
"22" 22 "Korean" 18
"23" 23 "Korean" 15
"24" 24 "Korean" 19
"25" 25 "Korean" 15
"26" 26 "Korean" 16
"27" 27 "Korean" 16
"28" 28 "Korean" 16
"29" 29 "Korean" 18
"30" 30 "Korean" 18
"31" 31 "Korean" 19
"32" 32 "Korean" 17
"33" 33 "Chinese" 9
"34" 34 "Chinese" 16
"35" 35 "Chinese" 12
"36" 36 "Chinese" 45
"37" 37 "Chinese" 18
"38" 38 "Chinese" 14
"39" 39 "Chinese" 16
"40" 40 "Chinese" 10
"41" 41 "Chinese" 17
"42" 42 "Chinese" 15
"43" 43 "Chinese" 12
"44" 44 "Chinese" 15
"45" 45 "Chinese" 35
"46" 46 "Chinese" 14
"47" 47 "Chinese" 18
"48" 48 "Chinese" 13
"49" 50 "Chinese" 8
