Subject	Class	TestScores
1	German	13
2	German	14
3	German	12
4	German	13
5	German	9
6	German	13
7	German	18
8	German	16
9	German	7
10	German	12
11	German	9
12	German	13
13	German	11
14	German	13
15	German	12
16	German	17
17	Korean	15
18	Korean	16
19	Korean	19
20	Korean	19
21	Korean	15
22	Korean	18
23	Korean	15
24	Korean	19
25	Korean	15
26	Korean	16
27	Korean	16
28	Korean	16
29	Korean	18
30	Korean	18
31	Korean	19
32	Korean	17
33	Chinese	9
34	Chinese	16
35	Chinese	12
36	Chinese	45
37	Chinese	18
38	Chinese	14
39	Chinese	16
40	Chinese	10
41	Chinese	17
42	Chinese	15
43	Chinese	12
44	Chinese	15
45	Chinese	35
46	Chinese	14
47	Chinese	18
48	Chinese	13
50	Chinese	8
